D0701	1	0.0851	2	0	4	5	5	4	4	2
D0701	13	0.4255	8	3	4	3	3	3	3	2
D0701	14	0.4894	8	2	5	5	3	3	2	3
D0701	15	0.5319	9	7	2	3	4	5	3	2
D0701	17	0.5532	9	7	5	2	3	4	2	3
D0701	2	0.3191	5	0	3	4	4	4	3	2
D0701	23	0.4468	8	5	4	3	4	4	2	3
D0701	24	0.4043	6	2	4	2	2	4	2	2
D0701	29	0.4894	9	2	4	3	3	2	2	3
D0701	30	0.4681	7	1	5	3	5	3	2	3
D0701	5	0.3191	5	1	4	5	5	4	4	3
D0701	6	0.0426	1	0	4	4	1	1	1	1
D0701	9	0.4043	6	4	4	3	2	4	3	2
D0703	1	0.1429	4	0	4	5	5	5	5	1
D0703	13	0.1	2	0	5	4	4	5	4	2
D0703	14	0.1143	4	1	5	4	4	5	4	3
D0703	15	0.3571	10	2	4	5	5	5	5	4
D0703	17	0.2286	6	2	5	4	5	5	4	4
D0703	2	0.3143	8	2	4	5	5	5	5	4
D0703	23	0.1	5	0	5	5	5	5	5	2
D0703	24	0.2	6	1	4	5	4	5	4	3
D0703	29	0.1857	5	1	5	5	4	5	3	3
D0703	30	0.3	7	2	5	3	5	5	4	3
D0703	5	0.1857	5	2	3	5	3	5	5	2
D0703	6	0.1714	6	1	5	5	5	5	5	2
D0703	9	0.2286	8	1	5	5	3	5	5	2
D0704	1	0.0816	4	0	5	5	5	5	5	1
D0704	13	0.4082	17	3	4	3	3	5	3	3
D0704	14	0.2755	16	0	5	2	5	5	4	3
D0704	15	0.3265	15	2	2	2	4	5	3	3
D0704	17	0.3163	15	2	5	2	5	5	4	3
D0704	2	0.2449	14	3	4	4	4	5	4	2
D0704	23	0.4592	23	3	5	3	3	5	4	2
D0704	24	0.2857	13	1	3	3	4	5	4	2
D0704	29	0.3469	18	7	4	2	3	5	2	2
D0704	30	0.4388	20	4	4	3	3	5	3	2
D0704	5	0.2143	11	0	5	3	5	5	5	2
D0704	6	0.2551	10	5	5	4	3	5	3	2
D0704	9	0.2653	11	1	3	3	3	5	2	2
D0705	1	0.1224	2	1	5	5	5	5	5	2
D0705	13	0.3265	10	7	4	2	4	5	3	3
D0705	14	0.2245	9	3	5	2	4	5	3	3
D0705	15	0.3265	11	0	4	4	4	5	4	3
D0705	17	0.3265	12	3	4	3	5	5	3	4
D0705	2	0.2653	9	0	5	4	5	5	4	3
D0705	23	0.3061	9	0	5	5	5	5	5	4
D0705	24	0.4286	12	4	4	2	3	5	4	3
D0705	29	0.4694	14	3	3	2	2	5	3	2
D0705	30	0.3265	11	6	5	3	5	5	4	3
D0705	5	0.2449	7	1	5	3	4	5	4	2
D0705	6	0.0816	3	1	5	5	5	5	5	3
D0705	9	0.3673	11	4	4	2	3	5	3	3
D0706	1	0.0588	2	2	5	5	2	1	2	2
D0706	13	0.2745	7	0	4	5	5	3	2	3
D0706	14	0.2157	4	0	5	4	2	2	1	3
D0706	15	0.3137	8	3	4	3	5	4	3	3
D0706	17	0.1373	3	0	5	2	2	2	2	2
D0706	2	0.3137	7	2	5	4	1	2	1	2
D0706	23	0.1765	6	1	5	5	5	5	5	3
D0706	24	0.1569	5	2	4	4	3	3	2	3
D0706	29	0.1961	5	0	1	5	2	2	1	3
D0706	30	0.1176	3	1	5	5	2	2	2	3
D0706	5	0.0784	2	0	5	4	3	3	2	3
D0706	6	0	0	0	1	1	1	1	1	1
D0706	9	0.3529	8	1	5	4	4	3	3	3
D0707	1	0.1404	6	2	5	5	2	1	5	2
D0707	13	0.2982	11	1	3	3	2	3	2	3
D0707	14	0.2632	9	2	5	5	2	3	3	3
D0707	15	0.3509	12	2	5	4	2	3	2	3
D0707	17	0.2281	8	0	5	5	4	3	4	4
D0707	2	0.2632	9	0	4	5	1	2	3	3
D0707	23	0.3158	12	1	5	5	2	3	4	4
D0707	24	0.4035	14	0	5	4	2	3	3	4
D0707	29	0.4561	16	1	5	4	2	3	2	3
D0707	30	0.2807	9	2	5	4	2	2	4	2
D0707	5	0.3333	11	4	3	5	2	4	4	3
D0707	6	0.0702	3	1	5	4	2	2	3	2
D0707	9	0.2807	9	0	4	5	1	2	2	2
D0710	1	0.2716	10	1	3	4	4	2	2	2
D0710	13	0.2963	11	2	4	3	4	3	2	2
D0710	14	0.2963	11	5	5	2	5	4	2	2
D0710	15	0.358	13	4	3	3	4	4	2	2
D0710	17	0.4568	15	3	3	3	4	3	2	2
D0710	2	0.4198	17	2	4	3	4	4	3	3
D0710	23	0.3333	12	3	4	3	4	4	3	2
D0710	24	0.4074	15	2	4	3	3	3	2	3
D0710	29	0.5062	18	2	3	2	2	3	2	3
D0710	30	0.1852	5	4	3	3	3	2	2	1
D0710	5	0.3827	15	2	4	3	3	3	2	3
D0710	6	0.1481	8	2	5	4	4	4	3	3
D0710	9	0.2963	10	7	4	1	3	3	2	2
D0711	1	0.1702	3	0	5	5	5	4	4	3
D0711	13	0.2128	3	2	4	4	4	4	3	3
D0711	14	0.1915	3	0	5	4	5	4	4	2
D0711	15	0.2553	4	2	4	4	4	4	3	3
D0711	17	0.3404	6	0	5	4	4	4	3	3
D0711	2	0.2553	5	1	4	4	4	4	3	3
D0711	23	0.1702	3	1	4	4	4	4	4	3
D0711	24	0.2553	5	0	4	4	3	3	2	2
D0711	29	0.2553	4	0	1	2	2	3	1	2
D0711	30	0.383	7	0	5	4	4	4	3	3
D0711	5	0.3191	5	2	5	4	5	4	3	2
D0711	6	0.1277	3	0	4	4	4	3	3	3
D0711	9	0.3191	4	0	4	4	4	4	3	4
D0714	1	0.0758	2	1	5	5	4	5	5	1
D0714	13	0.4242	10	1	4	3	5	3	4	3
D0714	14	0.2727	7	1	5	3	4	3	3	2
D0714	15	0.4697	12	2	3	1	3	3	3	3
D0714	17	0.197	4	2	5	3	5	5	3	2
D0714	2	0.6212	12	2	4	5	4	3	3	3
D0714	23	0.3636	10	0	5	5	4	5	4	3
D0714	24	0.4394	10	7	4	2	2	3	2	2
D0714	29	0.4394	8	2	4	2	2	4	2	2
D0714	30	0.3485	9	1	5	2	3	3	2	2
D0714	5	0.197	5	0	5	5	1	2	1	2
D0714	6	0	0	0	5	5	1	1	1	1
D0714	9	0.3939	9	1	4	4	4	4	4	3
D0716	1	0.1613	6	0	4	5	5	5	5	1
D0716	13	0.3871	13	4	4	3	4	4	3	2
D0716	14	0.3656	12	8	5	2	5	4	3	3
D0716	15	0.2796	10	7	3	2	5	4	3	2
D0716	17	0.2258	9	6	5	3	3	3	3	2
D0716	2	0.2473	8	7	4	3	4	5	4	3
D0716	23	0.3441	11	7	5	4	5	5	4	4
D0716	24	0.5269	18	8	4	3	4	5	3	3
D0716	29	0.4839	19	3	4	3	3	3	3	3
D0716	30	0.4086	15	8	5	3	5	5	3	3
D0716	5	0.3441	13	1	4	4	4	4	4	2
D0716	6	0.4086	15	2	5	3	2	4	4	2
D0716	9	0.3118	10	6	4	3	4	4	3	3
D0718	1	0.0482	1	0	5	5	5	5	5	1
D0718	13	0.3614	11	1	5	3	3	4	3	3
D0718	14	0.2651	7	0	5	3	2	3	2	3
D0718	15	0.3735	11	0	2	5	2	2	2	3
D0718	17	0.1205	6	0	5	4	3	3	2	2
D0718	2	0.1807	6	0	4	4	2	2	2	3
D0718	23	0.3012	9	1	5	3	4	5	4	4
D0718	24	0.1446	5	0	4	3	3	3	2	2
D0718	29	0.3253	10	0	5	4	3	4	4	4
D0718	30	0.1446	5	1	5	3	3	3	2	3
D0718	5	0.2289	7	0	4	4	2	2	2	3
D0718	6	0.0602	2	0	5	5	3	2	2	1
D0718	9	0.2771	9	1	4	3	3	3	2	3
D0720	1	0.0833	4	0	5	5	5	5	3	2
D0720	13	0.2639	12	1	4	5	5	2	2	3
D0720	14	0.2639	12	2	3	5	5	4	3	3
D0720	15	0.2222	10	1	3	3	5	2	2	3
D0720	17	0.125	4	2	5	5	3	3	3	3
D0720	2	0.0556	4	0	5	2	5	5	4	3
D0720	23	0.2639	12	1	3	5	3	4	3	4
D0720	24	0.1806	9	2	4	5	3	5	5	3
D0720	29	0.2639	7	0	4	5	5	3	3	4
D0720	30	0.2083	9	1	3	2	5	3	2	3
D0720	5	0.2083	10	0	5	3	3	5	3	3
D0720	6	0.2222	8	0	5	5	5	4	3	4
D0720	9	0.2639	12	6	4	5	3	2	2	3
D0721	1	0.2754	6	1	5	5	5	5	5	2
D0721	13	0.2754	7	0	5	2	5	4	3	4
D0721	14	0.2174	6	1	5	2	5	3	3	4
D0721	15	0.4638	11	1	2	2	5	2	2	3
D0721	17	0.2029	5	1	5	2	3	3	2	3
